# frame_skip_agent_A, frame_skip_agent_B, episode, score_A, score_B, reward
6,1,249,7,9,-2
6,1,250,9,6,3
6,1,251,12,13,-1
6,1,252,17,12,5
6,1,253,11,13,-2
6,1,254,10,5,5
6,1,255,12,8,4
6,1,256,8,7,1
6,1,257,15,10,5
6,1,258,2,2,0
6,1,259,14,6,8
6,1,260,10,18,-8
6,1,261,3,13,-10
6,1,262,15,7,8
6,1,263,12,26,-14
6,1,264,8,14,-6
6,1,265,6,8,-2
6,1,266,5,5,0
6,1,267,7,5,2
6,1,268,9,14,-5
6,1,269,6,4,2
6,1,270,10,5,5
6,1,271,0,1,-1
6,1,272,19,12,7
6,1,273,18,16,2
6,1,274,5,6,-1
6,1,275,0,8,-8
6,1,276,10,9,1
6,1,277,5,4,1
6,1,278,19,11,8
6,1,279,12,19,-7
6,1,280,16,15,1
6,1,281,8,6,2
6,1,282,9,23,-14
6,1,283,5,6,-1
6,1,284,1,2,-1
6,1,285,11,13,-2
6,1,286,8,9,-1
6,1,287,8,10,-2
6,1,288,14,28,-14
6,1,289,7,4,3
6,1,290,11,1,10
6,1,291,12,11,1
6,1,292,4,5,-1
6,1,293,4,5,-1
6,1,294,2,4,-2
6,1,295,15,9,6
6,1,296,14,10,4
6,1,297,10,17,-7
6,1,298,2,6,-4
6,1,299,16,10,6
